"","x"
"1",2
"2",2
"3",3
"4",3
"5",2
"6",2
"7",4
"8",1
"9",3
"10",4
"11",2
"12",4
"13",2
"14",1
"15",1
"16",2
"17",4
"18",4
"19",1
"20",2
"21",4
"22",2
"23",3
"24",1
"25",3
"26",3
"27",2
"28",4
"29",4
"30",3
"31",3
"32",2
"33",4
"34",3
"35",1
"36",2
"37",4
"38",4
"39",1
"40",2
"41",3
"42",2
"43",3
"44",4
"45",1
"46",1
"47",3
"48",1
"49",2
"50",4
"51",1
"52",4
"53",4
"54",4
"55",3
"56",4
"57",2
"58",1
"59",1
"60",1
"61",3
"62",3
"63",3
"64",2
"65",1
"66",2
"67",1
"68",3
"69",4
"70",1
"71",3
"72",1
"73",1
"74",1
"75",2
"76",2
"77",3
"78",2
"79",2
"80",2
"81",3
"82",2
"83",3
"84",2
"85",2
"86",1
"87",3
"88",2
"89",3
"90",2
"91",1
"92",3
"93",2
"94",4
"95",4
"96",1
"97",2
"98",2
"99",3
"100",1
"101",4
"102",4
"103",1
"104",1
"105",3
"106",4
"107",2
"108",4
"109",1
"110",2
"111",1
"112",3
"113",4
"114",4
"115",1
"116",3
"117",4
"118",2
"119",3
"120",1
"121",2
"122",4
"123",1
"124",1
"125",3
"126",4
"127",3
"128",2
"129",4
"130",1
"131",2
"132",3
"133",1
"134",1
"135",3
"136",4
"137",3
"138",4
"139",1
"140",4
"141",4
"142",3
"143",1
"144",4
"145",4
"146",3
"147",4
"148",2
"149",4
"150",1
"151",3
"152",3
