"V1","V2"
10.90658,63.007396
10.061073,62.730161
7.16976,62.174229
12.004055,64.612644
12.378819,64.910686
11.799786,64.062347
16.010672,68.002963
13.584199,65.534434
11.589885,61.193156
12.671171,65.209797
7.435437,62.197904
7.486897,62.198072
23.3045,68.75509
11.118746,61.436539
11.931715,60.899091
12.549095,64.578808
12.044262,65.059436
12.168762,64.967377
12.02631,60.876581
17.033932,68.569842
11.78868,60.800172
11.120614,61.429109
13.669791,65.502399
10.085986,62.789017
17.164695,68.62319
12.016694,62.147222
11.65007,63.044811
7.435552,62.198267
13.039807,64.843254
11.811888,64.529303
11.645117,62.212535
7.164941,62.250481
11.258192,61.033879
11.739384,64.529803
11.158021,61.560872
11.12065,61.429364
7.209913,62.148118
7.447832,62.148358
12.357219,64.649056
7.627079,61.264795
12.090533,60.893861
12.04215,60.862959
8.476352,59.479824
11.957717,60.776648
16.023939,67.765097
11.096459,63.084877
17.111474,68.554736
12.089907,60.89365
9.740121,62.264849
7.624266,61.251693
7.426924,62.181929
10.907479,62.98717
12.375792,64.906601
12.220774,64.935693
13.214621,64.901143
9.562482,61.711684
7.491503,62.190689
19.361239,69.221265
7.75582,61.843193
11.034529,63.098462
11.489835,60.955919
10.895491,63.003694
10.147763,62.708688
10.612439,62.15851
7.05967,62.158848
12.044918,65.062768
12.050519,64.463799
17.03225,68.570239
11.159242,63.119614
19.367118,69.21966
12.372738,64.440807
10.066444,62.800601
11.744891,61.72299
11.757561,60.788587
11.943636,60.78701
16.842441,68.537112
10.916874,63.013114
23.203125,68.723621
7.065941,62.275865
10.224924,61.787531
10.074045,62.805554
7.42734,62.181709
11.953817,64.570266
11.82565,60.835529
6.733182,61.968316
11.109186,63.162732
11.37383,61.728365
12.24064,64.640548
11.095398,63.084688
10.099047,62.708012
12.151175,60.855222
11.223357,64.222801
12.519804,60.507074
12.499093,61.08341
10.071065,62.803048
11.792485,60.820939
11.795273,64.540176
17.090411,68.639767
22.521539,68.875619
11.804197,60.816798
10.949455,63.048702
10.148398,62.709232
7.491798,62.19503
9.980391,62.009536
11.874634,60.816506
17.672113,68.611348
10.114826,62.818573
18.189669,68.684207
7.518162,62.163549
11.778769,63.142158
17.192501,68.591169
11.664857,64.52011
11.152556,61.43909
11.114966,63.130116
16.802447,68.533229
12.850653,65.042949
11.030301,63.079604
10.688958,61.752571
12.070334,60.873846
10.148727,62.708659
17.064113,68.651146
10.149106,62.708861
12.054317,64.604065
12.673357,65.013982
10.041941,62.724456
11.101026,61.432152
11.979185,60.779605
12.601317,65.030888
11.797166,60.834475
7.066087,62.275829
11.711192,64.536162
12.294271,60.806684
11.039833,63.202171
17.052803,68.64704
10.110766,62.797591
11.148518,63.158102
10.024038,62.789902
10.036509,62.792134
7.034667,62.158455
10.881755,62.995797
11.38389,61.005222
11.965792,60.775369
11.103596,63.140912
10.967497,63.153923
10.03913,62.723782
10.056056,62.79787
16.991518,68.560705
18.578408,68.567642
10.908582,62.984658
18.500565,69.045498
7.492187,62.195201
10.069071,62.857127
8.286537,61.768653
22.035273,69.741327
12.011363,60.914595
11.26546,63.306416
12.839419,65.029205
22.119213,69.726699
6.877019,62.23827
10.556481,63.128595
10.020871,62.725707
12.63657,65.045739
5.871466,61.943339
7.432636,62.203906
10.68488,61.758013
12.089961,60.89366
15.438211,67.297744
11.597004,64.298245
19.886408,68.680456
10.978642,63.110449
10.020685,62.725763
12.061169,60.874311
10.059959,62.716145
11.98728,60.890787
12.063644,64.348145
10.021209,62.725908
12.379258,64.594869
12.128523,64.698141
11.084302,61.440904
7.432943,62.2039
11.10846,63.242226
13.035803,64.838296
11.493969,64.368341
6.706068,61.979987
9.904747,61.775286
12.110531,61.647817
8.782366,63.245244
9.930507,62.102557
11.084651,61.440516
10.020782,62.725766
11.93765,61.912483
8.317517,62.201442
11.239087,61.113442
9.962079,62.007086
13.726566,64.721709
11.843466,64.580437
10.116945,62.703531
10.066885,62.80676
12.492708,65.00784
11.936167,64.555943
7.432739,62.203954
12.465911,65.034947
10.813902,63.309761
10.592294,61.225536
12.087981,60.890904
11.823946,64.873567
12.039847,60.875694
7.219212,62.0852
11.059276,63.466649
