"","x"
"1",4
"2",2
"3",1
"4",2
"5",1
"6",2
"7",1
"8",2
"9",4
"10",3
"11",1
"12",2
"13",2
"14",4
"15",2
"16",3
"17",1
"18",1
"19",2
"20",2
"21",1
"22",2
"23",2
"24",3
"25",1
"26",4
"27",2
"28",3
"29",1
"30",1
"31",4
"32",3
"33",3
"34",3
"35",4
"36",3
"37",1
"38",2
"39",2
"40",4
"41",2
"42",4
"43",4
"44",3
"45",4
"46",2
"47",4
"48",1
"49",1
"50",3
"51",3
"52",1
"53",3
"54",4
"55",2
"56",3
"57",4
"58",4
"59",2
"60",4
"61",1
"62",2
"63",3
"64",4
"65",1
"66",1
"67",1
"68",4
"69",2
"70",3
"71",1
"72",1
"73",1
"74",1
"75",4
"76",1
"77",2
"78",2
"79",3
"80",1
"81",1
"82",4
"83",2
"84",3
"85",3
"86",4
"87",2
"88",4
"89",2
"90",3
"91",2
"92",4
"93",4
"94",1
"95",3
"96",1
"97",4
"98",2
"99",4
"100",1
"101",4
"102",1
"103",3
"104",2
"105",2
"106",1
"107",2
"108",3
"109",2
"110",4
"111",2
"112",2
"113",1
"114",4
"115",4
"116",4
"117",1
"118",2
"119",3
"120",4
"121",3
"122",2
"123",1
"124",1
"125",2
"126",3
"127",3
"128",2
"129",2
"130",4
"131",4
"132",4
"133",2
"134",3
"135",3
"136",2
"137",1
"138",4
"139",2
"140",4
"141",1
"142",1
"143",3
"144",1
"145",2
"146",4
"147",1
"148",4
"149",2
"150",2
"151",3
"152",1
"153",4
"154",1
"155",3
"156",2
"157",3
"158",2
"159",1
"160",4
"161",2
"162",4
"163",2
"164",3
"165",4
"166",4
"167",4
"168",2
"169",3
"170",1
"171",3
"172",4
"173",2
"174",3
"175",1
"176",1
"177",1
"178",4
"179",3
"180",4
"181",1
"182",2
"183",4
"184",3
"185",3
"186",2
"187",4
"188",1
"189",4
"190",3
"191",2
"192",1
"193",1
"194",3
"195",2
"196",4
"197",4
"198",3
"199",4
"200",4
"201",4
"202",1
"203",1
"204",4
"205",3
"206",3
"207",1
"208",1
"209",3
"210",1
"211",2
"212",3
"213",4
"214",1
"215",1
"216",3
"217",4
"218",4
"219",2
"220",2
"221",1
"222",1
"223",3
"224",2
"225",1
"226",4
"227",4
"228",1
"229",4
"230",1
"231",2
"232",3
"233",1
"234",3
"235",4
"236",4
"237",2
"238",3
"239",2
"240",2
"241",1
"242",3
"243",2
"244",2
"245",1
"246",2
"247",3
"248",2
"249",1
"250",1
"251",2
"252",2
"253",1
"254",4
"255",2
"256",2
"257",4
"258",4
"259",3
"260",2
"261",4
"262",1
"263",4
"264",4
"265",2
"266",3
"267",2
"268",2
"269",2
"270",2
"271",1
"272",4
"273",4
"274",4
"275",4
"276",2
"277",2
"278",3
"279",4
"280",4
"281",2
"282",4
"283",4
"284",4
"285",4
"286",1
"287",1
"288",2
"289",1
"290",2
"291",4
"292",3
"293",3
"294",2
"295",2
"296",1
"297",4
"298",3
"299",1
"300",2
"301",2
"302",4
"303",2
"304",1
"305",4
"306",3
"307",3
"308",4
"309",3
"310",4
"311",1
"312",3
"313",3
"314",2
"315",2
"316",4
"317",4
"318",4
"319",2
"320",3
"321",1
"322",1
"323",2
"324",1
"325",4
"326",2
"327",4
"328",4
"329",4
"330",1
"331",4
"332",3
"333",1
"334",3
"335",4
"336",3
"337",4
"338",2
"339",3
"340",3
"341",2
"342",3
