"","x"
"1",3
"2",3
"3",1
"4",1
"5",1
"6",3
"7",3
"8",4
"9",3
"10",1
"11",1
"12",4
"13",1
"14",4
"15",2
"16",3
"17",2
"18",4
"19",1
"20",3
"21",2
"22",3
"23",1
"24",2
"25",2
"26",4
"27",4
"28",2
"29",4
"30",1
"31",4
"32",2
"33",2
"34",1
"35",4
"36",1
"37",4
"38",4
"39",4
"40",4
"41",1
"42",3
"43",4
"44",3
"45",4
"46",4
"47",2
"48",1
"49",2
"50",2
"51",1
"52",3
"53",3
"54",1
"55",3
"56",3
"57",2
"58",4
"59",3
"60",2
"61",4
"62",4
"63",3
"64",4
"65",4
"66",4
"67",3
"68",4
"69",2
"70",2
"71",2
"72",2
"73",1
"74",3
"75",3
"76",1
"77",1
"78",1
"79",2
"80",3
"81",4
"82",2
"83",2
"84",1
"85",3
"86",3
"87",3
"88",2
"89",2
"90",1
"91",4
"92",1
"93",4
"94",4
"95",3
"96",3
"97",1
"98",2
"99",1
"100",2
"101",1
"102",3
"103",1
"104",3
"105",2
"106",2
"107",2
"108",1
"109",3
"110",1
"111",3
"112",4
"113",1
"114",4
"115",1
"116",1
"117",3
"118",2
"119",2
"120",2
"121",1
"122",1
"123",1
"124",1
"125",1
"126",3
"127",4
"128",2
"129",2
"130",4
"131",4
"132",2
"133",3
"134",3
"135",4
"136",1
"137",4
"138",3
"139",2
"140",3
"141",3
"142",2
"143",4
"144",4
"145",4
"146",2
"147",2
"148",2
"149",4
"150",4
"151",1
"152",3
"153",2
"154",2
"155",1
"156",1
"157",1
"158",3
"159",1
"160",4
"161",4
"162",3
"163",4
"164",1
"165",1
"166",3
"167",4
"168",4
"169",4
"170",3
"171",1
"172",3
"173",3
"174",3
"175",1
"176",4
"177",1
"178",3
"179",1
"180",3
"181",1
"182",1
"183",2
"184",2
"185",2
"186",2
"187",3
"188",4
"189",4
"190",1
"191",4
"192",2
"193",2
"194",1
"195",1
"196",1
"197",3
"198",1
"199",3
"200",2
"201",2
"202",3
"203",1
"204",4
"205",1
"206",3
"207",1
"208",1
"209",2
"210",1
"211",2
"212",1
"213",4
"214",4
"215",1
"216",3
"217",1
"218",1
"219",1
"220",1
"221",2
"222",1
"223",2
"224",4
"225",4
"226",3
"227",1
"228",2
"229",2
"230",3
"231",2
"232",1
"233",3
"234",1
"235",2
"236",1
"237",3
"238",4
"239",1
"240",3
"241",2
"242",3
"243",4
"244",4
"245",2
"246",2
"247",2
"248",1
"249",4
"250",1
"251",3
"252",4
"253",3
"254",1
"255",3
"256",3
"257",2
"258",4
"259",4
"260",1
"261",1
"262",3
"263",4
"264",2
"265",2
"266",1
"267",1
"268",4
"269",4
"270",1
"271",2
"272",4
"273",2
"274",4
"275",4
"276",1
"277",3
"278",2
"279",4
"280",1
"281",4
"282",2
"283",4
"284",2
"285",2
"286",2
"287",4
"288",2
"289",4
"290",1
"291",4
"292",4
"293",3
"294",3
"295",4
"296",1
"297",1
"298",3
"299",2
"300",3
"301",2
"302",1
"303",2
"304",4
"305",3
"306",3
"307",1
"308",2
"309",2
"310",2
"311",2
"312",2
"313",4
"314",3
"315",1
"316",3
"317",4
"318",3
"319",4
"320",3
"321",3
"322",3
"323",4
"324",4
"325",3
"326",1
"327",2
"328",2
"329",3
"330",1
"331",4
"332",4
"333",4
"334",4
"335",1
"336",2
"337",2
"338",2
"339",2
"340",2
"341",3
"342",4
"343",2
"344",3
"345",1
"346",3
"347",1
"348",2
"349",2
"350",1
"351",1
"352",3
"353",4
"354",4
"355",4
"356",2
"357",3
"358",3
"359",3
"360",2
"361",1
"362",4
"363",3
"364",3
"365",4
"366",4
"367",3
"368",1
"369",1
"370",1
"371",1
"372",4
"373",2
"374",4
"375",2
"376",2
"377",3
"378",4
"379",4
"380",3
"381",2
"382",1
"383",2
"384",1
"385",4
"386",3
"387",3
"388",3
"389",3
"390",3
"391",2
"392",3
"393",3
"394",2
"395",2
"396",4
"397",2
"398",1
"399",2
"400",3
"401",3
"402",4
"403",4
"404",1
"405",2
"406",4
"407",3
"408",2
"409",1
"410",4
"411",2
"412",4
"413",3
"414",3
"415",3
"416",2
"417",1
"418",2
"419",1
"420",4
"421",4
"422",1
"423",4
"424",3
"425",3
"426",4
"427",4
"428",2
"429",1
"430",2
"431",3
"432",3
"433",3
"434",3
"435",3
"436",2
"437",4
