"V1","V2"
-73.30291,44.202832
-93.337092,36.039603
-100.58234,28.92935
-75.097283,38.78569
-95.694889,30.083972
-82.648258,29.169649
-73.089797,43.988383
-75.15195,19.907156
-99.371583,49.821333
-95.695004,30.083819
-76.647238,39.32433
-76.883628,39.802547
-78.042541,44.613109
-84.162717,43.31238
-84.338538,39.102224
-77.066414,45.634618
-79.872658,38.916176
-80.34453,32.608887
-103.305527,29.239675
-76.488188,42.4785
-74.646184,40.664528
-80.698206,25.38926
-76.798387,39.764238
-97.637193,30.681725
-97.645618,30.683655
-97.643765,27.870936
-98.132482,27.960666
-95.695015,30.084134
-78.731856,42.894002
-83.973082,42.466236
-97.698627,30.24063
-75.096729,38.783029
-93.25898,30.294466
-97.359668,31.924386
-78.863243,35.81469
-81.485788,41.26391
-97.700043,30.2389
-98.9367,33.830595
-81.521845,41.115048
-86.655305,36.196318
-78.969568,43.843567
-77.031334,39.021653
-77.094862,39.027588
-78.672947,35.374397
-79.669097,37.094367
-99.444566,27.546286
-95.694996,30.084154
-85.506485,32.671687
-78.688231,35.743741
-74.468045,40.706156
-75.810074,45.295207
-97.241813,49.872516
-74.532495,40.602452
-98.683319,38.44387
-114.099656,46.83491
-77.801582,43.083164
-80.871708,39.954025
-98.647274,29.687364
-80.439986,25.761596
-80.344646,32.681385
-98.169032,28.027018
-95.694862,30.083991
-97.218723,30.1512
-97.698453,30.242287
-71.50768,42.441598
-98.1024,30.2847
-87.851578,41.950804
-98.391069,33.770785
-82.865363,40.186538
-72.93734,43.445591
-72.991053,43.576697
-74.445505,40.607942
-72.529472,43.633755
-79.930625,43.468206
-80.175583,45.345928
-72.577271,43.054778
-72.371052,43.637675
-73.998584,40.465772
-100.209539,25.378016
-76.642213,38.086806
-86.655662,36.196161
-95.694886,30.083916
-76.457025,42.478205
-77.805476,40.802055
-76.48842,42.478583
-117.344579,45.58955
-79.421054,39.065297
-95.694821,30.084212
-72.367596,43.63975
-97.680544,32.755526
-80.447428,25.880568
-95.694866,30.084169
-77.034059,39.040925
-97.443286,27.571629
-86.585291,34.729554
-86.54883,34.610237
-97.69818,30.240305
-98.390554,33.757371
-87.973306,41.200933
-100.515977,33.055566
-73.129249,44.486261
-72.529983,43.635478
-79.917684,39.723028
-73.376153,41.850997
-95.69493,30.08413
-97.471541,32.844507
-75.632819,35.952794
-78.854654,42.846654
-77.032839,39.042059
-100.950408,25.338208
-68.480939,44.455681
-91.842264,47.907919
-95.695079,30.08411
-99.448101,27.543112
-75.833526,42.164243
-83.237743,39.985736
-97.699957,30.240782
-75.794358,44.803963
-100.621772,31.33078
-103.929623,30.602511
-97.008333,33.376842
-97.430599,26.55779
-97.045522,28.053102
-97.699769,31.890181
-72.837455,41.845678
-74.40156,40.63703
-82.590795,35.298245
-97.606112,27.920594
-79.480811,40.294356
-95.694787,30.083888
-82.570652,29.041477
-98.243098,29.607653
-81.518501,28.326293
-80.667071,25.38705
-99.382192,19.292052
-95.694799,30.08408
-97.763087,30.370407
-95.694828,30.084078
-84.850821,43.578193
-80.938818,44.327945
-103.536358,30.376567
-82.338731,28.787053
-74.532537,40.605091
-83.994706,42.444662
-77.067711,39.001973
-78.965395,43.852624
-106.441362,23.29926
-80.761561,35.162839
-81.222997,42.692845
-72.53077,43.636013
-75.810835,45.295419
-88.930015,37.394945
-88.912561,41.329847
-98.495522,38.127448
-97.69963,30.240227
-95.694891,30.083922
-97.875116,28.063887
-83.994255,42.444773
-114.079818,48.053985
-89.844185,35.142312
-89.627068,42.767555
-104.968803,50.512883
-72.534039,43.355572
-81.494522,27.992994
-95.694909,30.084086
-103.883111,20.180363
-80.381742,43.383794
-79.279828,43.860068
-95.694881,30.083802
-97.204177,27.951683
-81.011724,35.707005
-79.051094,35.634952
-97.64259,27.866094
-97.706322,30.408987
-72.743072,44.467963
-95.695044,30.083657
-95.694569,30.085142
-95.694849,30.084015
-74.246995,40.912179
-75.346867,45.513195
-95.694873,30.084067
-74.560862,40.351581
-97.701414,30.241811
-79.105924,42.606578
-91.197205,47.382412
-75.178016,40.651549
-73.380218,43.563085
-95.694894,30.084158
-95.694888,30.083835
-95.695047,30.083965
-69.400778,45.17355
-95.694715,30.084293
-72.530473,42.329406
-87.891573,41.142517
