"","x","y"
"1",-75.75,5.75
"2",-103.25,35.75
"3",-76.25,39.75
"4",-116.75,34.75
"5",-81.75,47.25
"6",-109.75,37.75
"7",-108.75,56.75
"8",-119.75,33.75
"9",-118.25,51.75
"10",-69.75,11.25
"11",-99.25,28.75
"12",-73.75,2.75
"13",-100.75,37.25
"14",-61.75,1.25
"15",-72.25,5.75
"16",-80.75,36.75
"17",-65.25,56.75
"18",-82.75,36.25
"19",-98.75,56.25
"20",-82.25,39.75
"21",-79.75,35.75
"22",-92.75,44.75
"23",-107.25,36.75
"24",-81.25,28.25
"25",-125.25,50.25
"26",-100.75,56.25
"27",-80.75,47.75
"28",-107.25,25.25
"29",-109.75,27.25
"30",-96.25,43.25
"31",-94.75,52.25
"32",-90.25,15.25
"33",-95.25,50.25
"34",-81.25,46.75
"35",-87.25,41.25
"36",-89.75,20.75
"37",-121.25,54.75
"38",-87.25,33.25
"39",-85.25,52.25
"40",-92.25,48.75
"41",-94.25,17.75
"42",-99.75,50.25
"43",-91.75,56.25
"44",-100.25,16.75
"45",-92.25,35.25
"46",-102.25,26.75
"47",-96.25,19.25
"48",-79.25,55.75
"49",-78.75,44.75
"50",-81.25,24.75
"51",-59.25,8.25
"52",-60.75,11.25
"53",-80.25,48.25
"54",-90.75,53.25
"55",-70.25,51.25
"56",-66.25,11.75
"57",-97.75,45.75
"58",-97.25,54.25
"59",-101.75,34.75
"60",-104.25,43.25
"61",-102.25,30.25
"62",-60.25,7.75
"63",-74.75,10.75
"64",-83.25,42.75
"65",-89.25,38.25
"66",-81.75,32.75
"67",-112.75,49.25
"68",-99.75,32.25
"69",-90.75,45.75
"70",-78.25,22.25
"71",-70.25,5.25
"72",-106.25,37.75
"73",-110.75,35.25
"74",-68.75,55.75
"75",-94.25,51.75
"76",-100.75,46.75
"77",-65.75,55.25
"78",-80.75,34.75
"79",-81.75,44.25
"80",-92.25,47.75
"81",-76.75,46.25
"82",-78.75,52.75
"83",-72.75,2.75
"84",-100.75,44.75
"85",-112.75,44.25
"86",-98.75,49.25
"87",-99.75,20.75
"88",-70.25,6.25
"89",-99.75,28.75
"90",-111.25,31.25
"91",-94.25,31.25
"92",-101.25,37.75
"93",-100.75,46.25
"94",-72.25,7.75
"95",-102.25,27.75
"96",-97.25,46.75
"97",-119.75,34.75
"98",-91.75,16.25
"99",-95.25,54.25
"100",-61.25,3.25
"101",-85.75,31.75
"102",-87.25,40.25
"103",-114.75,56.25
"104",-104.75,55.25
"105",-114.25,29.75
"106",-65.25,45.25
"107",-76.25,19.75
"108",-111.75,39.75
"109",-70.25,8.75
"110",-100.75,33.25
"111",-106.75,56.25
"112",-100.75,30.75
"113",-96.25,40.25
"114",-82.75,51.75
"115",-104.75,41.75
"116",-94.25,35.75
"117",-79.75,8.25
"118",-106.75,24.25
"119",-76.25,51.25
"120",-112.25,50.25
"121",-92.75,18.25
"122",-118.25,34.75
"123",-103.75,29.75
"124",-72.25,-0.25
"125",-93.75,50.25
"126",-70.75,19.25
"127",-106.75,51.75
"128",-108.75,26.25
"129",-116.75,51.75
"130",-77.25,6.75
"131",-103.25,29.25
"132",-106.25,54.25
"133",-103.75,21.25
"134",-110.75,44.75
"135",-84.25,13.25
"136",-96.75,30.25
"137",-105.75,44.25
"138",-63.75,3.25
"139",-88.25,13.75
"140",-85.25,36.75
"141",-106.75,28.25
"142",-116.25,48.75
"143",-81.25,8.25
"144",-127.25,53.25
"145",-65.25,47.25
"146",-66.25,-0.25
"147",-78.25,52.75
"148",-89.75,37.25
"149",-107.75,49.75
"150",-111.75,25.75
"151",-71.75,1.25
"152",-92.25,49.25
"153",-119.25,37.25
"154",-88.25,43.75
"155",-96.75,18.25
"156",-122.75,43.75
"157",-81.75,29.75
"158",-94.25,51.25
"159",-69.25,49.75
"160",-64.25,9.75
"161",-99.25,17.75
"162",-101.75,36.75
"163",-102.75,41.75
"164",-81.25,34.25
"165",-61.75,56.75
"166",-92.25,34.25
"167",-104.25,45.75
"168",-92.75,39.75
"169",-87.75,39.25
"170",-104.75,20.75
"171",-81.75,22.25
"172",-94.75,44.75
"173",-108.25,41.75
"174",-103.75,35.75
"175",-76.25,8.25
"176",-77.75,48.25
"177",-103.75,46.75
"178",-117.75,38.75
"179",-108.25,55.25
"180",-64.25,9.25
"181",-99.25,34.75
"182",-98.75,47.25
"183",-74.25,55.25
"184",-98.25,27.75
"185",-60.75,4.75
"186",-99.75,44.75
