"","x"
"1",1
"2",4
"3",3
"4",1
"5",4
"6",4
"7",2
"8",3
"9",3
"10",2
"11",1
"12",3
"13",2
"14",4
"15",1
"16",3
"17",2
"18",1
"19",1
"20",4
"21",4
"22",3
"23",4
"24",1
"25",4
"26",4
"27",2
"28",4
"29",1
"30",3
"31",3
"32",2
"33",3
"34",3
"35",2
"36",4
"37",2
"38",2
"39",1
"40",3
"41",4
"42",1
"43",2
"44",4
"45",4
"46",2
"47",3
"48",4
"49",4
"50",2
"51",3
"52",3
"53",1
"54",2
"55",1
"56",2
"57",1
"58",1
"59",1
"60",1
"61",2
"62",2
"63",3
"64",4
"65",2
"66",4
"67",2
"68",4
"69",4
"70",2
"71",3
"72",3
"73",1
"74",3
"75",3
"76",2
"77",4
"78",1
"79",3
"80",1
"81",4
"82",1
"83",2
"84",3
"85",4
"86",4
"87",2
"88",2
"89",3
"90",4
"91",2
"92",3
"93",4
"94",4
"95",3
"96",1
"97",4
"98",3
"99",3
"100",1
"101",2
"102",2
"103",1
"104",2
"105",2
"106",2
"107",1
"108",4
"109",1
"110",1
"111",2
"112",3
"113",2
"114",4
"115",3
"116",1
"117",4
"118",4
"119",2
"120",4
"121",3
"122",1
"123",1
"124",2
"125",1
"126",1
"127",3
"128",4
"129",1
"130",3
"131",2
"132",1
"133",3
"134",3
"135",1
"136",2
"137",3
"138",1
"139",4
"140",3
"141",4
"142",3
"143",1
"144",4
"145",1
"146",2
"147",4
"148",4
"149",3
"150",3
"151",4
"152",4
"153",1
"154",1
"155",4
"156",2
"157",2
"158",2
"159",4
"160",3
"161",2
"162",1
"163",1
"164",2
"165",1
"166",1
"167",4
"168",3
"169",2
"170",4
"171",2
"172",3
"173",4
"174",3
"175",2
"176",1
"177",1
"178",3
"179",3
"180",3
"181",2
"182",3
"183",4
"184",3
"185",1
"186",1
"187",2
"188",1
"189",2
"190",4
"191",1
"192",1
"193",1
"194",2
"195",3
"196",2
"197",1
"198",1
"199",2
"200",4
"201",2
"202",3
"203",2
"204",3
"205",3
"206",4
"207",1
"208",1
"209",2
"210",4
"211",2
"212",1
"213",1
"214",4
"215",1
"216",3
"217",4
"218",2
"219",1
"220",1
"221",1
"222",3
"223",3
"224",4
"225",4
"226",1
"227",3
"228",3
"229",2
"230",1
"231",4
"232",1
"233",4
"234",2
"235",3
"236",1
"237",3
"238",1
"239",1
"240",3
"241",3
"242",3
"243",4
"244",3
"245",1
"246",2
"247",3
"248",1
"249",4
"250",2
"251",3
"252",2
"253",4
"254",4
"255",4
"256",4
"257",1
"258",1
"259",3
"260",2
"261",2
"262",1
"263",2
"264",2
"265",4
"266",1
"267",2
"268",2
"269",1
"270",2
"271",2
"272",1
"273",1
"274",1
"275",4
"276",4
"277",1
"278",4
"279",2
"280",3
"281",3
"282",2
"283",1
"284",3
"285",3
"286",1
"287",1
"288",2
"289",2
"290",4
"291",2
"292",3
"293",4
"294",4
"295",3
"296",2
"297",3
"298",3
"299",4
"300",2
"301",2
"302",2
"303",2
"304",1
"305",4
"306",3
"307",1
"308",3
"309",2
"310",4
"311",2
"312",4
"313",4
"314",2
"315",3
"316",4
"317",2
"318",4
"319",1
"320",2
"321",1
"322",1
"323",3
"324",1
"325",3
"326",4
"327",2
"328",2
"329",3
"330",3
"331",3
"332",1
"333",4
"334",4
"335",1
"336",4
"337",2
"338",2
"339",3
"340",4
"341",3
"342",1
"343",2
"344",4
"345",3
"346",1
"347",1
"348",1
"349",2
"350",2
"351",4
"352",3
"353",3
"354",2
"355",2
"356",1
"357",2
"358",3
"359",3
"360",4
"361",2
"362",4
"363",3
"364",3
"365",2
"366",2
"367",3
"368",3
"369",3
"370",3
"371",1
"372",2
"373",4
"374",3
"375",1
"376",4
"377",1
"378",3
"379",1
"380",2
"381",1
"382",3
"383",4
"384",4
"385",3
"386",2
"387",3
"388",2
"389",1
"390",2
"391",3
"392",2
"393",4
"394",3
"395",1
"396",3
"397",3
"398",2
"399",1
"400",2
"401",2
"402",3
"403",1
"404",3
"405",1
"406",4
"407",3
"408",2
"409",1
"410",1
"411",2
"412",1
"413",3
"414",4
"415",3
"416",1
"417",4
"418",2
"419",4
"420",2
"421",1
"422",4
"423",1
"424",1
"425",2
"426",2
"427",1
"428",1
"429",1
"430",1
"431",4
"432",1
"433",4
"434",4
"435",2
"436",4
"437",2
"438",2
"439",3
"440",4
"441",4
"442",3
"443",4
"444",2
"445",4
"446",4
"447",1
"448",4
"449",3
"450",2
"451",2
"452",2
"453",4
"454",4
"455",3
"456",3
"457",1
"458",2
"459",3
"460",1
"461",3
"462",1
"463",1
"464",4
"465",3
"466",3
"467",3
"468",2
"469",1
"470",1
"471",4
"472",1
"473",4
"474",4
"475",2
"476",4
"477",2
"478",3
"479",1
"480",2
"481",1
"482",2
"483",1
"484",1
"485",2
"486",2
"487",4
"488",2
"489",2
"490",2
"491",3
"492",4
"493",3
"494",3
"495",2
"496",1
"497",3
"498",2
"499",2
"500",2
"501",4
"502",4
"503",1
"504",1
"505",3
"506",3
"507",2
"508",3
"509",1
"510",2
"511",4
"512",2
"513",4
"514",4
"515",3
"516",3
"517",2
"518",3
"519",2
"520",2
"521",4
"522",3
"523",2
"524",1
"525",4
"526",3
"527",3
"528",4
"529",4
"530",1
"531",1
"532",4
"533",4
"534",2
"535",2
"536",4
"537",4
"538",1
"539",2
"540",2
"541",3
"542",4
"543",1
"544",4
"545",1
"546",3
"547",4
"548",4
"549",2
"550",1
"551",1
"552",3
"553",1
"554",2
"555",4
"556",4
"557",1
"558",1
"559",1
"560",2
"561",2
"562",3
"563",2
"564",4
"565",3
"566",3
"567",4
"568",1
"569",2
"570",1
"571",4
"572",3
"573",3
"574",1
"575",4
"576",2
"577",1
"578",1
"579",2
"580",4
"581",2
"582",3
"583",3
"584",1
"585",4
"586",1
"587",1
"588",4
"589",1
"590",3
"591",4
"592",2
"593",3
"594",2
"595",4
"596",3
"597",1
"598",2
"599",4
"600",1
"601",1
"602",4
"603",2
"604",4
"605",2
"606",2
"607",4
"608",2
"609",1
"610",2
"611",4
"612",4
"613",4
"614",2
"615",1
"616",3
"617",3
"618",3
"619",1
"620",4
"621",3
"622",1
"623",4
"624",3
"625",4
"626",1
"627",2
"628",3
"629",2
"630",3
"631",1
"632",4
"633",3
"634",4
"635",3
"636",2
"637",3
"638",1
"639",3
"640",2
"641",2
"642",1
"643",1
"644",3
"645",2
"646",1
"647",1
"648",1
"649",1
"650",3
"651",4
"652",4
"653",2
"654",4
"655",2
"656",1
"657",4
"658",3
"659",3
"660",3
"661",1
"662",1
"663",3
"664",4
"665",1
"666",1
"667",4
"668",2
"669",4
"670",2
"671",2
"672",1
"673",3
"674",3
"675",3
"676",2
"677",2
"678",2
"679",2
"680",1
"681",1
"682",2
"683",2
"684",4
"685",1
"686",3
"687",4
"688",4
"689",1
"690",1
"691",2
"692",1
"693",2
"694",1
"695",3
"696",1
"697",3
"698",4
"699",2
"700",3
"701",1
"702",1
"703",1
"704",3
"705",4
"706",2
"707",1
"708",2
"709",2
"710",2
"711",3
"712",1
"713",1
"714",3
"715",2
"716",4
"717",4
"718",3
"719",2
"720",1
"721",2
"722",1
"723",3
"724",4
"725",2
"726",4
"727",1
"728",2
"729",4
"730",4
"731",3
"732",2
"733",1
"734",2
"735",3
"736",3
"737",4
"738",2
"739",4
"740",2
"741",1
"742",3
"743",4
"744",3
"745",2
"746",4
"747",1
"748",1
"749",3
"750",2
"751",1
"752",3
"753",2
"754",2
"755",1
"756",4
"757",1
"758",4
"759",1
"760",3
"761",2
"762",1
"763",3
"764",2
"765",4
"766",1
"767",4
"768",2
"769",4
"770",1
"771",2
"772",4
"773",2
"774",4
"775",1
"776",3
"777",3
"778",3
"779",2
"780",2
"781",4
"782",4
"783",2
"784",3
"785",4
"786",3
"787",3
"788",3
"789",4
"790",1
"791",3
"792",3
"793",4
"794",1
"795",3
"796",4
"797",3
"798",2
"799",4
"800",1
"801",2
"802",3
"803",2
"804",4
"805",3
"806",4
"807",1
"808",3
"809",4
"810",1
"811",3
"812",1
"813",1
"814",4
"815",4
"816",4
"817",1
"818",2
"819",1
"820",2
"821",2
"822",4
"823",1
"824",2
"825",4
"826",1
"827",2
"828",4
"829",3
"830",3
"831",1
"832",2
"833",3
"834",2
"835",3
"836",3
"837",2
"838",3
"839",3
"840",2
"841",3
"842",4
"843",2
"844",4
"845",3
"846",4
"847",3
"848",2
"849",1
"850",1
"851",1
"852",1
"853",3
"854",3
"855",3
"856",2
"857",1
"858",2
"859",3
"860",3
"861",4
"862",3
"863",4
"864",4
"865",2
"866",4
"867",3
"868",1
"869",4
"870",2
"871",1
"872",1
"873",1
"874",1
"875",3
"876",2
"877",4
"878",3
"879",1
"880",1
"881",3
"882",4
"883",4
"884",3
"885",3
"886",1
"887",2
"888",1
"889",1
"890",3
"891",3
"892",1
"893",2
"894",4
"895",4
"896",3
"897",3
"898",2
"899",1
"900",2
"901",3
"902",4
"903",3
"904",1
"905",3
"906",1
"907",4
"908",4
"909",3
"910",4
"911",3
"912",2
"913",4
"914",2
"915",3
"916",4
"917",3
"918",4
"919",3
"920",1
"921",1
"922",4
"923",4
"924",2
"925",3
"926",3
"927",4
"928",1
"929",1
"930",1
"931",3
"932",2
"933",4
"934",4
"935",3
"936",4
"937",4
"938",3
"939",1
"940",2
"941",4
"942",2
"943",4
"944",1
"945",2
"946",1
"947",4
"948",4
"949",3
"950",4
"951",4
"952",1
"953",4
"954",4
"955",4
"956",1
"957",2
"958",3
"959",1
"960",4
"961",3
"962",2
"963",4
"964",2
"965",2
"966",3
"967",4
"968",3
"969",2
"970",3
"971",2
"972",3
"973",1
"974",3
"975",4
"976",3
"977",2
"978",2
"979",2
"980",2
"981",4
"982",4
"983",4
"984",4
"985",2
"986",4
"987",1
"988",4
"989",2
"990",4
"991",2
"992",4
"993",3
"994",1
"995",4
"996",3
"997",3
"998",3
"999",1
"1000",4
